Country_code,LEI_Code,Bank_name,Period,Item,Scenario,Fact_char,Amount
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213745,1,,1727.27207
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213746,1,,1639.02167
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213747,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213748,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213749,1,,88.2504
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213750,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213751,1,,12488.95468
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213752,1,,2101.063836
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213753,1,,1846.683424
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213754,1,,254.3804114
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213755,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213756,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213757,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213758,1,,78841.1202
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213759,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213760,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213761,1,,0.13649835
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213762,1,,0.15840661
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213763,1,,0.18505595
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213764,1,,10761.68261
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213765,1,,12400.70428
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213766,1,,14501.76811
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213767,1,,0.13649835
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213768,1,,0.15728727
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213769,1,,0.18393661
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213770,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213771,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213772,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213773,1,,193910.063
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213774,1,,193910.063
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213775,1,,0.06440591
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213776,1,,0.0639508
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213777,1,,0.025
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213778,1,,0.00162682
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213779,1,,0.02
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213780,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213781,1,,0.02
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213782,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213783,1,,0.04662682
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213784,1,,0.0225
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213785,1,,0.0127
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213786,1,,0.1025
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213787,1,,0.0577
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213788,1,,0.14912682
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213789,1,,0.10432682
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213790,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213791,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202012,213792,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202103,213801,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202103,213802,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202103,213803,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202103,213804,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202103,213805,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202103,213806,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202103,213807,1,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213101,2,,2981.38594
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213101,3,,2608.948187
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213102,2,,-165.7015186
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213102,3,,-236.3305727
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213103,2,,-850.369956
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213103,3,,-2021.630456
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213104,2,,287.8148058
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213104,3,,-1815.381844
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213105,2,,0.58062591
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213105,3,,0.63481551
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213106,2,,10878.17065
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213106,3,,9072.180557
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213107,2,,82158.76856
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213107,3,,86493.15852
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213108,2,,0.13240426
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213108,3,,0.104889
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213109,2,,0.13240426
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213109,3,,0.104889
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213110,2,,12561.19232
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213110,3,,10755.20223
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213111,2,,193910.063
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213111,3,,193910.063
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213112,2,,0.06477844
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213112,3,,0.0554649
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213113,2,,0.06455154
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213113,3,,0.05523799
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213114,2,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213114,3,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213115,2,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213115,3,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213116,2,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213116,3,,0
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213501,2,,68956.28307
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213501,3,,71504.24982
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213502,2,,1030.63298
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213502,3,,2479.578338
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213503,2,,67925.65009
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213503,3,,69024.67148
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213504,2,,5267.421377
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213504,3,,6461.018317
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213505,2,,7934.85355
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213505,3,,8527.679825
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213506,2,,0.2105615
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213506,3,,0.2105615
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213507,2,,82158.76856
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213507,3,,86493.15852
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213508,2,,82158.76856
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213508,3,,86493.15852
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213509,2,,82158.76856
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213509,3,,86493.15852
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213601,2,,2981.38594
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213601,3,,2608.948187
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213602,2,,4265.012318
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213602,3,,4013.06451
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213603,2,,-1283.626378
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213603,3,,-1404.116323
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213604,2,,19.72292212
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213604,3,,9.86146106
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213605,2,,1601.88228
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213605,3,,1558.164208
AT,9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,202112,213606,2,,-165.7015186
